Row ID,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
1,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05
2,387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
3,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
4,252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
5,393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.58
6,289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
7,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
8,333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68
9,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
10,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
11,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
12,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
13,145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
14,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
15,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8
16,397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
17,153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28,25.56
18,122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
19,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
20,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
21,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
22,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
23,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
24,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
25,289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.25
26,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
27,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
28,133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
29,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
30,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
31,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
32,385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
33,148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
34,166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
35,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
36,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100,56.74
37,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
38,145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
39,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
40,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
41,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
42,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
43,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
44,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
45,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
46,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
47,122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32
48,405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.3
49,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
50,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,25.02
51,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
52,194.7,0.0,100.5,170.2,7.5,998.0,901.8,100,44.28
53,316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7
54,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
55,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
56,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
57,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
58,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
59,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
60,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
61,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
62,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
63,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
64,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
65,387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
66,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
67,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
68,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
69,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
70,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
71,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
72,145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
73,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
74,194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
75,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
76,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
77,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
78,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
79,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49
80,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
81,307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49
82,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
83,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
84,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
85,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
86,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
87,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
88,153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96
89,290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
90,276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
91,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
92,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
